Run on (160 X 4023 MHz CPU s)
2018-08-08 15:33:31
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"filter_height","filter_width","input_batch_size","input_channels","input_height","input_size","input_width","num_filters","output_batch_size","output_channels","output_height","output_size","output_width","pad_height","pad_width","stride_height","stride_width"
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:84/H:20/C:256/N:1/K:512/filter_w(s):5/filter_h(r):5/pad_w:1/pad_h:1/wstride:2/hstride:2/manual_time",60653,11537.4,18504.2,ns,,1.90858e+13,,,,5,5,1,256,20,430080,84,512,1,512,9,188928,41,1,1,2,2
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:42/H:10/C:512/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",60184,11605.9,18468.8,ns,,9.48663e+12,,,,3,3,1,512,10,215040,42,512,1,512,10,215040,42,1,1,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:700/H:161/C:1/N:2/K:64/filter_w(s):5/filter_h(r):5/pad_w:1/pad_h:1/wstride:2/hstride:2/manual_time",3867,180975,187820,ns,,7.97104e+10,,,,5,5,2,1,161,225400,700,64,2,64,80,3.57376e+06,349,1,1,2,2
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:350/H:80/C:64/N:2/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",3878,180509,187368,ns,,1.27072e+12,,,,3,3,2,64,80,3.584e+06,350,64,2,64,80,3.584e+06,350,1,1,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:350/H:80/C:64/N:2/K:128/filter_w(s):5/filter_h(r):5/pad_w:1/pad_h:1/wstride:2/hstride:2/manual_time",22894,30575.9,37392.7,ns,,1.50037e+13,,,,5,5,2,64,80,3.584e+06,350,128,2,128,39,1.73722e+06,174,1,1,2,2
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:175/H:40/C:128/N:2/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",22533,31082.5,37969.5,ns,,7.37959e+12,,,,3,3,2,128,40,1.792e+06,175,128,2,128,40,1.792e+06,175,1,1,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:175/H:40/C:128/N:2/K:256/filter_w(s):5/filter_h(r):5/pad_w:1/pad_h:1/wstride:2/hstride:2/manual_time",47074,14870.1,21670.9,ns,,3.08507e+13,,,,5,5,2,128,40,1.792e+06,175,256,2,256,19,846336,87,1,1,2,2
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:84/H:20/C:256/N:2/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",46182,15165.1,22125,ns,,1.45203e+13,,,,3,3,2,256,20,860160,84,256,2,256,20,860160,84,1,1,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:84/H:20/C:256/N:2/K:512/filter_w(s):5/filter_h(r):5/pad_w:1/pad_h:1/wstride:2/hstride:2/manual_time",55678,12584.5,19370.3,ns,,3.49956e+13,,,,5,5,2,256,20,860160,84,512,2,512,9,377856,41,1,1,2,2
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:42/H:10/C:512/N:2/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",55454,12620.4,19425.8,ns,,1.74481e+13,,,,3,3,2,512,10,430080,42,512,2,512,10,430080,42,1,1,1,1
